,title,text,url,date,photo,tv,sns,ano,quote
0,"‘KBS 연기대상’ 파격의상 효린, 대기실서 전한 새해 인사[SNS★컷]","씨스타 출신 효린이 새해 인사를 전했다.효린은 1월 1일 개인 인스타그램을 통해 셀프 새해 영상을 게재했다.영상 속 효린은 ""올한해 너무 수고 많으셨고 고생도 많이 하셨다. 저도 1년이 어떻게 흘러갔는지 모를 정도로 바쁘게 보냈는데 2019년에는 더 열심히 활동하는 모습 보여드릴 테니까 앞으로도 많은 응원 부탁드리고 2019년에는 더 좋은 일 행복한 일 가득하셨으면 좋겠다""고 전했다.한편 효린은 '2018 KBS 연기대상' 축하무대에 파격적인 의상으로 올라 화제를 모으고 있다. (사진=효린 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000039802,2019.01.01. 오전 8:09,0,0,인스타그램,,
1,"‘알함브라’ 현빈, 매력적인 보조개 미소에 심쿵[SNS★컷]","배우 현빈의 매력적인 보조개가 포착됐다.1월 1일 tvN 공식 인스타그램에 ""2019년도 잘 부탁드려요 대표님""이라는 글과 함께 한 장의 사진이 게재됐다.공개된 사진 속 현빈은 하늘을 바라보며 해맑게 웃고 있다. 특히 그의 트레이드 마크인 보조개는 보는 이들의 마음을 설레게 했다.여기에 현빈의 잘생긴 비주얼 또한 시선을 사로잡았다.현빈은 tvN '알함브라 궁전의 추억'에서 유진우 역으로 사랑을 받고 있다.(사진=tvN 드라마 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000039909,2019.01.01. 오후 2:24,0,0,인스타그램,,
2,"잘 자란 유승호, 한 눈에 봐도 8등신 비율[SNS★컷]","배우 유승호가 새해 기념 전신사진을 공개했다.유승호는 1월 2일 개인 인스타그램에 자신의 모습이 담긴 사진을 게재했다.사진 속 유승호는 가죽재킷을 입은 채 미소짓고 있다.유승호는 사진과 함께 ""제가요. 정말 셀카를 찍어보려고 했는데요. 제 폰이 이상한가봐요. 아님 내 손이 문젠가. 폰에 있는 예쁜 사진 올립니다. 이게 그나마 예쁜 거예요""라고 설명했다.이어 ""아 그리고 새해 인사가 너무 늦었네요.. 정신없이 하루하루 보내다가 늦었습니다... 여러분 올해 새해 복 많이 받으시고, 행복한 일들만 가득하길 바랍니다. '복수가 돌아왔다' 많이 사랑해주세요""라고 새해 인사를 전했다.한편 유승호는 SBS 월화드라마 '복수가 돌아왔다'에 출연 중이다. (사진=유승호 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000040332,2019.01.02. 오후 2:27,0,0,인스타그램,,
3,"‘대세남’ 박성광, 올블랙 패션으로 뽐낸 훈남 외모[SNS★컷]","박성광이 훈훈한 셀카와 함께 새해 인사를 전했다.개그맨 박성광은 1월 2일 자신의 인스타그램에 ""올블랙 패션. 신년. 올해도 잘 부탁해요""라는 글과 함께 사진을 게재했다.사진에는 검은색 모자와 티셔츠를 착용한 박성광의 모습이 담겨있다. 훈훈한 외모가 시선을 사로잡는다. 
한편 박성광은 매니저 임송과 함께 MBC '전지적 참견 시점'에 출연 중이다.(사진=박성광 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000040390,2019.01.02. 오후 4:21,0,0,인스타그램,,
4,"강다니엘·윤지성 개인 SNS 오픈, 워너원 해체→개인활동 시동","워너원 활동을 마무리한 강다니엘과 윤지성이 개인 SNS 계정을 개설했다. 워너원 출신 강다니엘은 1월 2일 자신의 공식 인스타그램 계정을 열고 ""HELLO. OPEN""이라는 짧은 글과 함께 셀카를 게재, 훈훈한 비주얼을 뽐냈다. 윤지성 역시 자신의 개인 인스타그램을 만들어 ""안녕하세요.윤지성입니다. 앞으로 자주 만나요~ 밥 챙겨드세요""라는 글을 남겼다. 근황이 담긴 사진도 함께 게재했다.  
강다니엘과 윤지성이 속해 있던 워너원은 2018년 12월 31일 공식 활동을 마무리하고 해체했다. 강다니엘과 윤지성은 워너원 활동 종료 후 개인 SNS 계정을 오픈하며 개인 활동의 시작을 알렸다. 한편 윤지성은 뮤지컬 '그날들' 합류를 확정했다.(사진=강다니엘 SNS, 윤지성 SNS) ",https://entertain.naver.com/ranking/read?oid=609&aid=0000040415,2019.01.02. 오후 5:13,0,0,인스타그램,,
5,"라붐 출신 율희, 남편 최민환 반할만한 러블리 미모[SNS★컷]","라붐 출신 율희의 러블리한 셀카가 공개됐다.율희는 1월 2일 자신의 인스타그램에 ""올 한 해도 행복한 일만 가득하길""이라는 글과 함께 사진을 게재했다.사진에는 패딩을 입고 환하게 미소 짓고 있는 율희의 모습이 담겨있다. 사랑스러운 미모가 시선을 사로잡는다.한편 율희는 남편 FT아일랜드 최민환과 KBS 2TV '살림하는 남자들 시즌2'에 출연 중이다.(사진=율희 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000040961,2019.01.03. 오후 3:02,0,0,인스타그램,,
6,"‘국가부도의 날’ 측 “불법파일 유통, 선처 없이 법적대응”(공식입장)","영화 '국가부도의 날' 제작사가 불법 영상 파일 유포 및 불법 다운로드에 대한 공식 입장을 밝혔다.1월 4일 영화사 집은 ""'국가부도의 날'이 지난 12월 28일 IPTV 및 디지털케이블TV를 통한 VOD 서비스를 시작한 가운데, 해당 영화의 영상이 SNS와 유튜브 및 불법 다운로드 사이트에서 유통되고 있습니다. 영화의 본편 영상을 무단으로 게시, 배포, 유통, 공유하거나 이를 다운로드 하는 모든 행위는 심각한 범법 행위입니다""라 밝혔다.이어 ""오랜 시간 공들여 영화를 만든 제작진뿐 아니라 정당하게 관람료를 내고 영화를 관람하신 관객들을 위해 불법 파일을 유통하는 행위에 대한 강력한 조치가 필요합니다""라며 ""'국가부도의 날' 제작사인 영화사 집은 해당 게시물에 대한 신고 및 경고 조치는 물론 경찰서 사이버 수사대에 사건을 의뢰하여 모든 피해에 대해 선처 없는 강력한 법적 책임을 요구할 것임을 밝힙니다""라 강조했다. 한편 지난 11월 28일 개봉한 '국가부도의 날'은 누적 관객 수 374만9,646 명(1월 3일 기준)을 동원하며 흥행에 성공했다.(사진=영화 포스터)",https://entertain.naver.com/ranking/read?oid=609&aid=0000041237,2019.01.04. 오전 8:15,0,0,유튜브,,
7,"코요태 신지, 여장부 벗고 청순美 작렬 ‘걸그룹 멤버인 줄’[SNS★컷]","그룹 코요태 멤버 신지가 청순한 미모를 과시했다.신지는 1월 4일 자신의 인스타그램에 ""어제 대기실은 조명이 어두웠지만 화장실 조명은 좋았더랬지 셀카인 듯 셀카 아닌 셀카 같은 셀카 뭐래""라는 글과 함께 사진을 게재했다.사진 속에는 흰색과 분홍색이 조화롭게 어우러진 의상을 입은 신지의 모습이 담겼다. 신지는 미소를 지은 채 브이포즈를 취하고 있다. 신지의 갸름한 턱선과 크고 맑은 눈망울이 돋보인다.사진을 접한 팬들은 ""참 볼 때마다 귀여운 신지 씨"", ""시간이 거꾸로 가는 것 같아요"", ""오 이사진 정말 예뻐요"" 등 반응을 보였다. 
신지는 TV조선 '연애의 맛'에 김종민 연애 코치로 출연 중이다. (사진=신지 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000041521,2019.01.04. 오후 2:37,0,0,인스타그램,,
8,"“성형 안해” 진지희, 성형금지 당할만한 바람직한 변천사","'정변의 아이콘' 진지희가 성형수술 의혹을 부인하면서 난데없이 진지희의 변천사가 다시금 주목받고 있다.올해 21세가 된 배우 진지희는 최근 몰라보게 예뻐지고 성숙해진 외모로 누리꾼들 사이에서 화제가 되고 있다.진지희는 지난 2009년 인기리에 방영된 MBC 시트콤 '지붕 뚫고 하이킥'에서 제멋대로 행동하는 꼬마 악동 정해리를 연기한 뒤 '빵꾸똥꾸'라는 별명을 얻었다. 어린 나이에도 불구, 얄미운 연기가 너무 리얼했던 탓에 성인이 된 현재까지도 진지희의 이름을 부를 땐 '빵꾸똥꾸'란 수식어가 따라다닌다. 진지희는 2012년 시청률 40%를 돌파한 MBC 드라마 '해를 품은 달'에서도 얄밉지만 미워할 수 없는 공주로 분해 밝고 명랑한 매력을 발산했다.진지희는 또 2014년 16세 어린 나이에도 불구, JTBC 드라마 '선암여고 탐정단' 주연을 맡아 열연했다. 진지희는 '빵꾸똥꾸' 이미지와는 상반되는 캐릭터를 맡아 섬세한 내면연기를 선보여 호평받았다. 그런가하면 진지희는 2017년 방영된 SBS 드라마 '언니는 살아있다'에서는 할 말은 다 하고 사는 고등학생 하세로 분해 배우 이재진과 로맨스 연기에 도전하기도 했다.이후 2017년 개봉한 영화 '이웃집 스타'에서는 한채영과 모녀 호흡을 맞추며 특유의 통통 튀는 매력을 선보였고, KBS 2TV '쌈, 마이웨이', tvN '백일의 낭군님' 등에 특별출연하며 안정된 연기력을 뽐냈다. 근황을 보여줄 때마다 진지희는 개성을 유지하면서도 나날이 예뻐지고 있는 외모로 대중의 관심을 한 몸에 받았다.미모가 점점 무르익어가고 있는 가운데 진지희에게는 유독 다른 연기자들에 비해 '절대 성형하지 말라'는 팬들의 당부가 쏟아지고 있어 눈길을 끈다. 이에 진지희는 과거 인터뷰에서 ""내가 광대뼈가 있긴 하지만 성형하고 싶단 생각을 한 적이 없다. 처음부터 하나하나 모여서 내 얼굴이 만들어진 거라 내 개성이 나가 떨어지는 것이기 때문에 난 성형을 안하고 싶다""고 선언하기도 했다.이같은 선언에도 의심하는 이들이 있었다. 하지만 진지희는 지난 1월3일 자신의 인스타그램 스토리를 통해 ""쌍꺼풀 수술 안 했다. 아무것도 안했다""고 당당히 밝혀 화제를 모으고 있다. (사진=MBC '지붕 뚫고 하이킥', MBC '해를 품은 달' 캡처, 뉴스엔DB, 진지희 인스타그램)",https://entertain.naver.com/ranking/read?oid=609&aid=0000041537,2019.01.04. 오후 3:29,0,0,인스타그램,누리꾼,"누리꾼들 사이에서 화제가 되고 있다.진지희는 지난 2009년 인기리에 방영된 MBC 시트콤 '지붕 뚫고 하이킥'에서 제멋대로 행동하는 꼬마 악동 정해리를 연기한 뒤 '빵꾸똥꾸'라는 별명을 얻었다. 어린 나이에도 불구, 얄미운 연기가 너무 리얼했던 탓에 성인이 된 현재까지도 진지희의 이름을 부를 땐 '빵꾸똥꾸'란 수식어가 따라다닌다. 진지희는 2012년 시청률 40%를 돌파한 MBC 드라마 '해를 품은 달'에서도 얄밉지만 미워할 수 없는 공주로 분해 밝고 명랑한 매력을 발산했다.진지희는 또 2014년 16세 어린 나이에도 불구, JTBC 드라마 '선암여고 탐정단' 주연을 맡아 열연했다. 진지희는 '빵꾸똥꾸' 이미지와는 상반되는 캐릭터를 맡아 섬세한 내면연기를 선보여 호평받았다. 그런가하면 진지희는 2017년 방영된 SBS 드라마 '언니는 살아있다'에서는 할 말은 다 하고 사는 고등학생 하세로 분해 배우 이재진과 로맨스 연기에 도전하기도 했다.이후 2017년 개봉한 영화 '이웃집 스타'에서는 한채영과 모녀 호흡을 맞추며 특유의 통통 튀는 매력을 선보였고, KBS 2TV '쌈, 마이웨이', tvN '백일의 낭군님' 등에 특별출연하며 안정된 연기력을 뽐냈다. 근황을 보여줄 때마다 진지희는 개성을 유지하면서도 나날이 예뻐지고 있는 외모로 대중의 관심을 한 몸에 받았다.미모가 점점 무르익어가고 있는 가운데 진지희에게는 유독 다른 연기자들에 비해 '절대 성형하지 말라'는 팬들의 당부가 쏟아지고 있어 눈길을 끈다. 이에 진지희는 과거 인터뷰에서 ""내가 광대뼈가 있긴 하지만 성형하고 싶단 생각을 한 적이 없다. 처음부터 하나하나 모여서 내 얼굴이 만들어진 거라 내 개성이 나가 떨어지는 것이기 때문에 난 성형을 안하고 싶다""고 선언하기도 했다.이같은 선언에도 의심하는 이들이 있었다. 하지만 진지희는 지난 1월3일 자신의 인스타그램 스토리를 통해 ""쌍꺼풀 수술 안 했다. 아무것도 안했다""고 당당히 밝혀 화제를 모으고 있다. (사진=MBC '지붕 뚫고 하이킥', MBC '해를 품은 달' 캡처, 뉴스엔DB, 진지희 인스타그램)"
9,"“소중한 동생” 장나라, 정경호 응원에 꽃미소 폭발한 황후마마[SNS★컷]","배우 장나라가 정경호에게 선물 받은 커피차 인증사진을 공개했다.장나라는 1월 5일 자신의 인스타그램에 ""한번더 해피엔딩의 세상 멋진 송수혁, 착한 경호가 저희 황품팀 힘내라고 커피차를 보내줬어요. 힘든 촬영중 모두들 즐거워하셨어요! 많이 지치고 힘들 때 함께 으�X으�X하던 소중한 동생의 응원 고마웡""이라는 글과 함께 사진을 게재했다. 
사진 속에는 브이포즈를 취하고 있는 장나라의 모습이 담겼다. 장나라는 카메라를 응시한 채 밝게 웃고 있다. 장나라의 동안미모가 시선을 사로잡는다.사진을 접한 팬들은 ""'한번 더 해피엔디' 너무 재밌게 봤는데"", ""'황후의품격' 잘 보고 있어요"", ""예쁜 황후 마마"" 등 반응을 보였다.장나라와 정경호는 2016년 MBC 드라마 '한번 더 해피엔딩'에 함께 출연했다. 장나라는 현재 SBS 수목드라마 '황후의품격'에서 오써니 역할로 출연 중이다. (사진=장나라 인스타그램) 
",https://entertain.naver.com/ranking/read?oid=609&aid=0000042292,2019.01.06. 오후 5:20,0,0,인스타그램,,
