,title,text,url,date,photo,tv,sns,ano,quote
0,"신화 신혜성, 연말 단독 콘서트 개최..발라드→댄스까지 다채로운 매력 선사","신화 신혜성이 연말 단독 콘서트를 성황리에 마무리했다. 신혜성은 지난 12월 30일과 31일 양일 간 경희대학교 평화의전당에서 연말콘서트 <2018-2019 SHIN HYE SUNG CONCERT 'THE YEAR'S JOURNEY'>를 개최해 팬들에게 따뜻한 연말의 추억을 선사했다. 지난 12월 30일과 31일 개최된 신혜성의 콘서트 'THE YEAR'S JOURNEY'는 매년 진행되고 있는 'HS CAMP'와 함께 신혜성을 대표하는 하나의 브랜드로 자리 잡았으며 이를 입증이라도 하듯 양일간 7,000여 명의 팬들이 콘서트장을 찾아 신혜성의 티켓파워를 실감케 했다. 이 날 신혜성은 팬들의 뜨거운 함성 속에 등장해 첫 곡으로 '그대라서'를 열창하며 공연의 막을 올렸고 'Awaken', 'Welcome' 무대를 차례로 선보이며 공연 초반부터 열광적인 분위기로 무대를 압도했다. 이어 '12월의 끝', '돌아와줘'로 한껏 달아오른 분위기를 이어 나간 신혜성은 '예뻐', '예쁘잖아'로 팬들의 마음을 설레게 만들었고 신화의 20주년 앨범의 타이틀곡인 'Kiss me like that'까지 완벽하게 소화해 현장 분위기를 뜨겁게 달궜으며 곧이어 아이유의 '밤편지'와 신혜성의 솔로곡인 '사랑... 사랑...' 이승환의 '어떻게 사랑이 그래요'를 특유의 감성과 보이스로 해석해 감미로운 무대를 꾸몄다. 또한 신혜성은 팬들과 함께하는 '예쁜 아가씨' 무대를 만들기 위해 경호팀과 같이 간단한 안무와 구호를 소개하는 내용의 영상을 촬영해 팬들에게 선보이며 유쾌한 웃음을 이끌어 냈고 안무를 어려워하는 팬들을 위해 직접 안무를 시연하는 등 적극적으로 팬들의 참여를 유도하며 콘서트에 특별함을 더했다. 이후 쉬지 않고 'EX-MIND', 'Urban Fever', 'CAN'T STOP THE FEELING', 'Uptown Funk'를 화려한 댄스 퍼포먼스와 함께 선보인 신혜성은 '서른 즈음에', '한걸음을 더'를 열창하며 다채로운 무대를 이어 나갔으며 31일 공연에서는 팬들과 함께 큰 소리로 카운트다운을 하며 새해를 맞이했다. 곧바로 이어진 무대에서 신혜성은 '별을따다'를 노래했고 곡이 시작되자 팬들은 '오직 내겐 혜성'이라고 적힌 슬로건을 들고 깜짝 이벤트를 펼치며 뭉클한 감동을 선사했다. 콘서트 말미에 신혜성은 ""도전한다는 것은 아름답고 멋진 일인 것 같다. 도전을 통해 성공하시길 바라고 여러분들 2019년 원하는 소원과 도전 모두 이루고 새해 복 많이 받길 바란다""며 ""오늘 자리에 함께 해 준 여러분께 진심으로 감사하다는 말씀드리고 싶다""고 소감을 전했다. 마지막으로 '머물러줘'와 '끝인사'를 열창한 신혜성이 퇴장하자 팬들은 아쉬운 마음을 담아 신혜성의 이름을 연호했고 이에 답하듯 신혜성이 무대 위로 다시 올라와 '같은 생각'과 'GONE TODAY', 그리고 'Welcome'을 한번 더 부르는 것으로 아쉬운 작별 인사를 대신하며 2018년과 2019년을 잇는 연말 단독콘서트를 성황리에 마무리했다. 이에 소속사 라이브웍스컴퍼니 관계자는 ""신혜성의 연말 브랜드 공연으로 자리매김한 'THE YEAR'S JOURNEY'가 성황리에 마무리될 수 있도록 성원을 보내주신 팬분들께 감사의 말씀드리며 다가오는 신화 21주년 공연에도 많은 기대 부탁드린다""고 전했다.한편, 신화 데뷔 20주년을 뜻 깊게 마무리한 신혜성은 신화 데뷔 21주년인 올해에도 그룹 및 솔로 활동을 활발히 이어갈 예정이다. 사진제공: 라이브웍스컴퍼니",https://entertain.naver.com/ranking/read?oid=112&aid=0003115484,2019.01.01. 오후 1:59,0,0,,관계자,"관계자는 ""신혜성의 연말 브랜드 공연으로 자리매김한 'THE YEAR'S JOURNEY'가 성황리에 마무리될 수 있도록 성원을 보내주신 팬분들께 감사의 말씀드리며 다가오는 신화 21주년 공연에도 많은 기대 부탁드린다""고 전했다.한편, 신화 데뷔 20주년을 뜻 깊게 마무리한 신혜성은 신화 데뷔 21주년인 올해에도 그룹 및 솔로 활동을 활발히 이어갈 예정이다. 사진제공: 라이브웍스컴퍼니"
1,"천우희, 근접 셀카에도 끄떡없는 미모…""평안한 한해 되세요""","사진=천우희 인스타그램[헤럴드POP=안태현 기자] 천우희가 남다른 미모의 근황을 전했다.1일 배우 천우희는 자신의 인스타그램 계정을 통해 근황을 담은 한 장의 사진과 함께 ""2019년에는 더욱 건강하고 좋은일만 가득했음 좋겠습니다. 무엇보다 마음이 즐겁고 평안한 한해 되길 바래요. 새해 복 많이 받으세요""라는 글을 게시했다.공개된 사진 속에는 천우희가 손에 턱을 괴고 미소를 짓고 있는 모습이 담겨있다. 근접셀카에서도 남다른 미모를 과시하고 있는 천우희의 모습이 눈길을 끈다.과연 새해에 천우희가 어떤 활약을 펼칠지에 대해 기대가 높아진다.한편, 천우희는 영화 '우상', '버티고', '소공녀'로 2019년 스크린 퀸 자리를 예약하고 있다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003115497,2019.01.01. 오후 3:20,0,0,인스타그램,,
2,"""둘도 없을 우리""…걸스데이 소진, 완전체 새해파티 공개","사진=걸그룹 걸스데이 소진 인스타그램[헤럴드POP=이미지 기자] 소진이 걸스데이 완전체 새해파티 현장을 공개했다.걸그룹 걸스데이 소진은 2일 오후 자신의 인스타그램에 ""둘도 없을 우리""라는 글과 함께 사진 한 장을 게재했다.공개된 사진에는 새해를 기념으로 완전체로 파티를 즐기고 있는 걸스데이 멤버들의 모습이 담겨 있다. 특히 레드로 드레스코드를 맞춘 혜리, 유라, 소진, 민아가 아름다운 미모를 뽐내고 있어 감탄을 자아냈다.한편 걸스데이는 현재 각자 개인 활동을 펼치고 있다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003115832,2019.01.02. 오후 4:23,0,0,인스타그램,,
3,[팝업★]강다니엘 인스타그램 개설 사진 대방출…팬들과 소통 시작,"사진=강다니엘 인스타그램[헤럴드POP=이미지 기자] 강다니엘이 단독 인스타그램을 개설해 화제다.그룹 워너원 강다니엘은 2일 오후 공식 인스타그램 계정을 만든 후 ""HELLO OPEN #강다니엘 #KangDaniel""이라는 글과 함께 사진 여러 장을 게재했다.공개된 사진에는 화이트 셔츠를 입고 카메라를 향해 환하게 웃고 있는 강다니엘의 모습이 담겨 있다. 또 다른 사진 속 강다니엘은 핑크 후드티를 입고 청량한 매력을 발산하고 있다.뿐만 아니라 이날 공개한 세 번째 사진에서 강다니엘은 들뜬 표정으로 2018 MBC 연예대상에서 받은 신인상 트로피를 인증하고 있다.앞서 워너원은 지난해 12월 31일을 끝으로 공식 계약이 종료됐다. 이에 멤버들은 1월부터 각자의 소속사로 돌아가 활동을 이어갈 예정이다.이러한 가운데 강다니엘이 공식 인스타그램 개설 소식을 알리며 팬들과의 소통을 본격적으로 시작, 폭발적인 관심을 모으고 있다.한편 강다니엘은 오는 24일부터 27일까지 고척스카이돔에서 열리는 워너원 파이널 콘서트 '2019 Wanna One Concert 'Therefore''에 참여할 예정이다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003115892,2019.01.02. 오후 7:15,0,0,인스타그램,,
4,"윤세아X오나라, 생일파티서 빛나는 극강의 아름다움","사진=윤세아 인스타그램[헤럴드POP=이미지 기자] 윤세아가 오나라와의 생일파티 현장을 공개했다.배우 윤세아는 2일 오후 자신의 인스타그램에 ""#sky캐슬 #진진희 #노승혜 #오나라 #윤세아 재미져....""라는 글과 함께 사진 두 장을 게재했다.공개된 사진에는 JTBC 금토드라마 'SKY 캐슬' 촬영장에 마련된 윤세아의 생일파티 현장에서 인증샷을 남기고 있는 윤세아, 오나라의 모습이 담겨 있다. 특히 윤세아, 오나라는 아름다운 미모를 뽐내고 있어 눈길을 끌었다.한편 'SKY 캐슬'은 매주 금, 토 오후 11시에 방송된다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003115923,2019.01.02. 오후 10:13,0,0,인스타그램,,
5,"""남다른 분위기""..유승옥, 화보 느낌 물씬",유승옥 인스타유승옥이 일본 여행 중 근황을 전했다.지난 2일 오후 유승옥은 자신의 인스타그램을 통해 여러 장의 사진을 게재했다.공개된 사진 속 유승옥은 일본 여행 중인 근황. 여행지를 돌며 여유로운 시간을 보내고 있는 유승옥의 미모가 더욱 돋보인다. 화보 같은 분위기가 신비로운 느낌이 들게 하고 있다.한편 유승옥은 tvN 예능 '소사이어티 게임 2'에 출연해 남다른 존재감을 뽐낸 바 있다.,https://entertain.naver.com/ranking/read?oid=112&aid=0003116030,2019.01.03. 오전 8:31,0,0,인스타그램,,
6,"""러블리 인형미모""…하연수, 완벽 옆태 자랑","사진=하연수 인스타그램[헤럴드POP=이미지 기자] 하연수가 러블리 인형미모를 뽐냈다.배우 하연수는 지난 2일 오후 자신의 인스타그램에 ""새해 복 많이 받으세요""라는 글과 함께 사진 두 장을 게재했다.공개된 사진에는 아기 염소에게 젖병을 물리고 있거나 아기 염소를 품에 꼭 안고 있는 하연수의 모습이 담겨 있다. 특히 하연수는 완벽한 옆태를 자랑, 특유의 사랑스러운 매력을 발산하고 있어 눈길을 끌었다.한편 하연수는 오는 16일 영화 '그대 이름은 장미' 개봉을 앞두고 있다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003116055,2019.01.03. 오전 10:02,0,0,인스타그램,,
7,"강수정 아나, 폭풍성장 아들과 찰칵..홍콩 디즈니랜드 인증샷","강수정 인스타[헤럴드POP=배재련 기자] 
강수정 아나운서가 아들과 함께 한 일상을 공개했다.3일 강수정 아나운서는 자신의 인스타그램을 통해 ""세가족 함께 디즈니랜드 나들이. 이제는 아들이 혼자 씩씩하게 잘 걸어다니고 탈 수 있는 기구가 많아져서 더욱 신났다! 바람 불고 추웠지만 더운 것 보단 낫다""라는 글과 함께 사진을 공개했다.공개된 사진 속에는 강수정이 현재 거주 중인 홍콩에서 디즈니랜드를 가족과 함께 방문한 모습이 담겨 있다. 강수정 아나운서는 아들의 얼굴을 가린 채 환한게 웃으며 인증샷을 남겨 눈길을 끌었다.한편 강수정은 지난해 MBN '코미디 청백전 사이다'를 통해 5년만에 복귀했다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003116091,2019.01.03. 오전 11:58,0,0,인스타그램,,
8,"김신영 ""막둥이 생일 축하해""…설현 향한 애정 가득","설현 인스타[헤럴드POP=고명진 기자]김신영이 설현에 대한 애정을 드러냈다.3일 김신영은 자신의 인스타그램에 ""막둥이 생일 축하한다""는 글과 함께 사진 한 장을 게재했다. 사진 속에는 설현의 모습이 담겼다.김신영은 설현, 지민과 친한 사이로 알려졌다. 세 사람은 함께 휴가를 떠나기도.한편 김신영은 지난 2018년 '2018 MBC 방송연예대상'에서 라디오 부문 최우수상을 받았다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003116252,2019.01.03. 오후 6:01,0,0,인스타그램,,
9,"야노 시호 ""사랑이와 이주한 하와이, 참 좋다""..방송 소개","야노 시호 인스타[헤럴드POP=배재련 기자] 
야노 시호가 이주한 하와이의 홍보대사로 나섰다.4일 일본 톱모델 야노 시호는 자신의 인스타그램을 통해 ""전 일본축구대표와 함께 하와이 소개합니다""라는 글과 함께 사진을 공개했다.공개된 사진 속에는 야노 시호가 하와이에서 인증샷을 찍고 있는 모습이 담겨 있다. 야노 시호는 이주한 지상낙원 하와이를 소개하며 환하게 웃어 눈길을 끌었다.앞서 야노 시호는 인터뷰를 통해 ""목표는 사랑이가 한국어, 영어, 일본어 등 3개 국어를 마스터하는 것이다""고 밝힌 바 있다.한편 최근 추사랑 가족은 하와이로 이주했으며, KBS 2TV '슈퍼맨이 돌아왔다' 5주년 특집에 추성훈과 함께 출연했다.",https://entertain.naver.com/ranking/read?oid=112&aid=0003116385,2019.01.04. 오전 7:36,0,0,인스타그램,,
